x,y,z,Group,Label,LabelPosition,LabelPriority
103,190,6,Queensland,Aidan Guerra,,
92,185,36,Queensland,Cameron Smith,,
89,178,16,Queensland,Cooper Cronk,right,
106,192,1,Queensland,Corey Oates,right,
102,188,16,Queensland,Corey Parker,,
91,182,1,Queensland,Dane Gagai,left,
96,185,23,Queensland,Darius Boyd,,
105,195,27,Queensland,Greg Inglis,,
105,182,11,Queensland,Jacob Lillyman,left,
86,179,33,Queensland,Johnathan Thurston,right,
106,180,2,Queensland,Josh McGuire,left,
92,190,1,Queensland,Justin O'Neill,left,
101,187,12,Queensland,Matt Gillett,left,
106,185,19,Queensland,Matthew Scott,right,
105,187,29,Queensland,Nate Myles,right,
110,181,25,Queensland,Sam Thaiday,right,
101,188,8,New South Wales,Josh Dugan,right,
88,179,14,New South Wales,Robbie Farah,left,
103,192,2,New South Wales,Blake Ferguson,right,
114,196,5,New South Wales,Andrew Fifita,,
108,185,1,New South Wales,Tyson Frizell,left,
104,180,22,New South Wales,Paul Gallen,right,
99,180,4,New South Wales,Josh Jackson,,
96,180,16,New South Wales,Michael Jennings,below,
120,200,4,New South Wales,David Klemmer,left,always
83,176,4,New South Wales,James Maloney,left,
98,183,1,New South Wales,Josh Mansour,,
88,185,1,New South Wales,Matt Moylan,left,
93,183,1,New South Wales,Jack Bird,left,
113,194,12,New South Wales,James Tamou,left,
93,180,1,New South Wales,James Tedesco,right,
114,194,9,New South Wales,Aaron Woods,left,