x,y,Group,Label,LabelPosition,LabelPriority
103,190,Queensland,Aidan Guerra,,
92,185,Queensland,Cameron Smith,,
89,178,Queensland,Cooper Cronk,right,
106,192,Queensland,Corey Oates,right,
102,188,Queensland,Corey Parker,,
91,182,Queensland,Dane Gagai,left,
96,185,Queensland,Darius Boyd,,
105,195,Queensland,Greg Inglis,,
105,182,Queensland,Jacob Lillyman,left,
86,179,Queensland,Johnathan Thurston,right,
106,180,Queensland,Josh McGuire,left,
92,190,Queensland,Justin O'Neill,left,
101,187,Queensland,Matt Gillett,left,
106,185,Queensland,Matthew Scott,right,
105,187,Queensland,Nate Myles,right,
110,181,Queensland,Sam Thaiday,right,
101,188,New South Wales,Josh Dugan,right,
88,179,New South Wales,Robbie Farah,left,
103,192,New South Wales,Blake Ferguson,right,
114,196,New South Wales,Andrew Fifita,,
108,185,New South Wales,Tyson Frizell,left,
104,180,New South Wales,Paul Gallen,right,
99,180,New South Wales,Josh Jackson,,
96,180,New South Wales,Michael Jennings,below,
120,200,New South Wales,David Klemmer,left,always
83,176,New South Wales,James Maloney,left,
98,183,New South Wales,Josh Mansour,,
88,185,New South Wales,Matt Moylan,left,
93,183,New South Wales,Jack Bird,left,
113,194,New South Wales,James Tamou,left,
93,180,New South Wales,James Tedesco,right,
114,194,New South Wales,Aaron Woods,left,